Ocular artifact correction,Muscle artifact correction,Low-pass filter,High-pass filter,Reference electrode(s),Detrending,Baseline interval,Autoreject,experiment,decoder,performance
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,P3,EEGNet,0.6857466101646423
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,False,ERN,EEGNet,0.8733412623405457
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,False,LRP,EEGNet,0.8219058513641357
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,False,MMN,EEGNet,0.5747652053833008
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,False,N170,EEGNet,0.7504687309265137
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,False,N2pc,EEGNet,0.6722030639648438
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,False,N400,EEGNet,0.6762499809265137
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,False,P3,EEGNet,0.6936718821525574
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,ERN,EEGNet,0.86164790391922
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,LRP,EEGNet,0.8062976002693176
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,MMN,EEGNet,0.5678887367248535
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,N170,EEGNet,0.7439062595367432
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,N2pc,EEGNet,0.6658102869987488
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,N400,EEGNet,0.675208330154419
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,P3,EEGNet,0.6796875
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,ERN,EEGNet,0.843785285949707
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,LRP,EEGNet,0.8217117786407471
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,MMN,EEGNet,0.5736501812934875
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,N170,EEGNet,0.7427808046340942
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,N2pc,EEGNet,0.6609990000724792
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,N400,EEGNet,0.6599353551864624
None,None,20 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,P3,EEGNet,0.6758965849876404
None,None,20 Hz,0.1 Hz,P9P10,None,None,False,ERN,EEGNet,0.863175094127655
None,None,20 Hz,0.1 Hz,P9P10,None,None,False,LRP,EEGNet,0.8216810822486877
None,None,20 Hz,0.1 Hz,P9P10,None,None,False,MMN,EEGNet,0.5748081803321838
None,None,20 Hz,0.1 Hz,P9P10,None,None,False,N170,EEGNet,0.7514062523841858
None,None,20 Hz,0.1 Hz,P9P10,None,None,False,N2pc,EEGNet,0.6711874604225159
None,None,20 Hz,0.1 Hz,P9P10,None,None,False,N400,EEGNet,0.6762499809265137
None,None,20 Hz,0.1 Hz,P9P10,None,None,False,P3,EEGNet,0.6959375143051147
None,None,20 Hz,0.1 Hz,P9P10,None,None,Interpolate,ERN,EEGNet,0.8511730432510376
None,None,20 Hz,0.1 Hz,P9P10,None,None,Interpolate,LRP,EEGNet,0.8003920912742615
None,None,20 Hz,0.1 Hz,P9P10,None,None,Interpolate,MMN,EEGNet,0.569337010383606
None,None,20 Hz,0.1 Hz,P9P10,None,None,Interpolate,N170,EEGNet,0.7462499737739563
None,None,20 Hz,0.1 Hz,P9P10,None,None,Interpolate,N2pc,EEGNet,0.6620396971702576
None,None,20 Hz,0.1 Hz,P9P10,None,None,Interpolate,N400,EEGNet,0.6770833134651184
None,None,20 Hz,0.1 Hz,P9P10,None,None,Interpolate,P3,EEGNet,0.6779687404632568
None,None,20 Hz,0.1 Hz,P9P10,None,None,Int. or reject,ERN,EEGNet,0.8665309548377991
